iter	Passed	Remaining
538	188130	509941
539	188490	509622
540	188863	509338
541	189224	509019
542	189575	508675
543	189975	508464
544	190362	508214
545	190714	507873
546	191078	507564
547	191443	507255
548	191796	506916
549	192138	506545
550	192490	506204
551	192851	505885
552	193188	505504
553	193512	505089
554	193850	504709
555	194176	504300
556	194534	503973
557	194906	503683
558	195276	503386
559	195647	503094
560	196010	502779
561	196384	502492
562	196757	502202
563	197125	501902
564	197469	501536
565	197819	501189
566	198204	500930
567	198562	500601
568	198935	500310
569	199293	499981
570	199664	499686
571	200003	499308
572	200335	498915
573	200687	498572
574	201051	498257
575	201411	497934
576	201769	497605
577	202124	497267
578	202456	496875
579	202780	496463
580	203149	496160
581	203520	495863
582	203889	495559
583	204223	495172
584	204611	494913
585	204938	494509
586	205301	494192
587	205645	493828
588	206029	493561
589	206373	493198
590	206755	492925
591	207100	492562
592	207431	492167
593	207786	491831
594	208158	491534
595	208515	491201
596	208877	490880
597	209227	490530
598	209578	490183
599	209924	489822
600	210279	489486
601	210647	489178
602	211034	488915
603	211374	488541
604	211717	488174
605	212043	487769
606	212395	487424
607	212762	487113
608	213106	486750
609	213455	486397
610	213800	486037
611	214135	485654
612	214485	485304
613	214819	484918
614	215175	484582
615	215531	484245
616	215864	483858
617	216221	483524
618	216578	483190
619	216949	482888
620	217299	482536
621	217631	482148
622	217976	481788
623	218334	481455
624	218659	481051
625	219036	480761
626	219392	480425
627	219728	480043
628	220092	479724
629	220432	479353
630	220771	478980
631	221143	478676
632	221508	478360
633	221858	478010
634	222216	477678
635	222563	477320
636	222917	476980
637	223304	476709
638	223660	476372
639	223998	475997
640	224378	475711
641	224730	475364
642	225084	475023
643	225431	474665
644	225778	474310
645	226142	473989
646	226517	473691
647	226856	473317
648	227221	472999
649	227559	472623
650	227904	472263
651	228241	471886
652	228604	471563
653	228946	471196
654	229302	470858
655	229669	470542
656	230039	470232
657	230379	469862
658	230725	469504
659	231085	469174
660	231452	468857
661	231751	468403
662	232126	468104
663	232478	467757
664	232826	467403
665	233192	467085
666	233537	466725
667	233878	466355
668	234225	466000
669	234556	465611
670	234911	465271
671	235247	464893
672	235605	464560
673	235964	464227
674	236311	463870
675	236644	463487
676	237009	463165
677	237376	462849
678	237761	462566
679	238129	462251
680	238498	461938
681	238847	461585
682	239192	461224
683	239537	460864
684	239900	460538
685	240241	460171
686	240605	459848
687	240951	459489
688	241323	459179
689	241675	458833
690	242008	458450
691	242354	458092
692	242699	457731
693	243057	457396
694	243416	457062
695	243747	456676
696	244109	456348
697	244477	456031
698	244816	455659
699	245153	455284
700	245494	454917
701	245826	454534
702	246167	454167
703	246495	453776
704	246830	453397
705	247182	453051
706	247517	452673
707	247850	452292
708	248179	451902
709	248515	451528
710	248866	451179
711	249200	450801
712	249553	450456
713	249977	450239
714	250334	449901
715	250697	449574
716	251044	449219
717	251397	448873
718	251776	448576
719	252125	448223
720	252515	447944
721	252894	447644
722	253246	447296
723	253587	446930
724	253945	446593
725	254311	446271
726	254657	445912
727	255018	445581
728	255367	445229
729	255729	444899
730	256071	444535
731	256443	444221
732	256789	443864
733	257139	443512
734	257495	443171
735	257850	442829
736	258248	442561
737	258596	442207
738	258947	441858
739	259294	441502
740	259646	441152
741	259938	440704
742	260229	440253
743	260530	439819
744	260900	439504
745	261238	439132
746	261580	438768
747	261942	438438
748	262287	438079
749	262665	437775
750	263037	437461
751	263386	437110
752	263730	436748
753	264020	436299
754	264313	435854
755	264633	435455
756	264996	435126
757	265343	434770
758	265699	434430
759	266072	434118
760	266444	433804
761	266774	433421
762	267119	433063
763	267452	432684
764	267805	432339
765	268150	431981
766	268520	431663
767	268908	431373
768	269253	431015
769	269603	430665
770	269984	430364
771	270342	430025
772	270729	429734
773	271061	429355
774	271411	429005
775	271707	428569
776	272083	428260
777	272424	427895
778	272783	427559
779	273129	427202
780	273499	426882
781	273861	426551
782	274213	426204
783	274552	425837
784	274846	425399
785	275139	424961
786	275466	424575
787	275759	424136
788	276096	423768
789	276449	423423
790	276794	423065
791	277145	422716
792	277480	422343
793	277844	422014
794	278197	421670
795	278563	421345
